Close,High,Low,Open,Volume,return,target,range,volume_change,close_ma5,close_ma20,return_vol5,return_vol20,lag_1,lag_2,lag_3,lag_6,lag_12
0.3490687608718872,0.3490687608718872,0.3289940315922176,0.33034224810035484,529496800,0.06392716959208378,0.012017276136440103,0.05750938362266488,2.842993009266786,0.33315856456756593,0.3267091363668442,0.03189053326671273,0.0333586103329189,-0.02363075403645931,0.016312959619962708,0.026988969290929532,0.01596520741584806,-0.02280140243407991
0.35326361656188965,0.35581070640511453,0.3411288415945075,0.3445744675048759,612007200,0.012017276136440103,0.004666277472759273,0.04156064797585755,0.15582794834643,0.33942079544067383,0.3275930300354958,0.03144661431862613,0.03045601322625464,0.06392716959208378,-0.02363075403645931,0.016312959619962708,0.017144329476981746,-0.029047866692053614
0.35491204261779785,0.3588073474365327,0.34442497583413767,0.34966849672442785,409976000,0.004666277472759273,-0.03334707099043466,0.04052376328600182,-0.33011245619332585,0.3442748785018921,0.32754059731960294,0.03163473798362762,0.027279607288112667,0.012017276136440103,0.06392716959208378,-0.02363075403645931,0.006084788438678546,0.011279748034212389
0.34307676553726196,0.3595556956684322,0.34082918864574846,0.35536087888559276,444584000,-0.03334707099043466,-0.012664803410360137,0.05458401414434998,0.08441469744570407,0.34568315744400024,0.32763048857450483,0.03811695484950166,0.02669895166020333,0.004666277472759273,0.012017276136440103,0.06392716959208378,0.026988969290929532,0.01891568055043713
0.3387317657470703,0.3453235025375562,0.3364841889518164,0.3408291740486619,450038400,-0.012664803410360137,-0.04245935580231208,0.02609531930447907,0.012268547676029806,0.3478105902671814,0.327682925760746,0.03635203022063425,0.026749865301603334,-0.03334707099043466,0.004666277472759273,0.012017276136440103,0.016312959619962708,0.029031253822792147
0.32434943318367004,0.34352564707274635,0.31880639988320497,0.34157840703269016,327835200,-0.04245935580231208,-0.019399613777398406,0.07621177859602905,-0.2715394952964014,0.34286672472953794,0.32701624631881715,0.023509127234190526,0.028423592266332533,-0.012664803410360137,-0.03334707099043466,0.004666277472759273,-0.02363075403645931,-0.04393983587084238
0.31805717945098877,0.3215028038956571,0.303375295882672,0.3179078360543209,452737600,-0.019399613777398406,-0.008477704936588726,0.056994494022350774,0.3809914249598578,0.3358254373073578,0.32660422325134275,0.018324191215208823,0.027745161203396092,-0.04245935580231208,-0.012664803410360137,-0.03334707099043466,0.06392716959208378,0.01596520741584806
0.31536078453063965,0.32719604383859985,0.30861887824192363,0.32045413754988383,348801600,-0.008477704936588726,0.004751198100276799,0.05890765912548428,-0.22957227321079587,0.32791518568992617,0.32627463936805723,0.014283214036876431,0.027652254592205175,-0.019399613777398406,-0.04245935580231208,-0.012664803410360137,0.012017276136440103,0.017144329476981746
0.3168591260910034,0.3206042623623285,0.31311316471805434,0.31476171776280154,415996000,0.004751198100276799,0.0260035996895418,0.023641729170592544,0.19264361172655176,0.3226716578006744,0.326387020945549,0.017387950289504583,0.027173928451244438,-0.008477704936588726,-0.019399613777398406,-0.04245935580231208,0.004666277472759273,0.006084788438678546
0.32509860396385193,0.32599713966846955,0.3177576745203416,0.3194054025296358,290320800,0.0260035996895418,-0.04239767542720585,0.025344511011939352,-0.3021067510264521,0.31994502544403075,0.3273683160543442,0.025673086481836242,0.02678685847677413,0.004751198100276799,-0.008477704936588726,-0.019399613777398406,-0.03334707099043466,0.026988969290929532
0.3113151788711548,0.3207535136374192,0.3071203384164094,0.3207535136374192,566893600,-0.04239767542720585,0.08181204985179025,0.043792195647010944,0.9526454873367667,0.3173381745815277,0.32748815715312957,0.025652345280727053,0.02859032769104718,0.0260035996895418,0.004751198100276799,-0.008477704936588726,-0.012664803410360137,0.016312959619962708
0.3367845118045807,0.3406789912569912,0.32764568671667843,0.3289939026966019,660576000,0.08181204985179025,-0.013790844797534452,0.038699239672504125,0.16525570230462994,0.32108364105224607,0.3285892948508263,0.04609837176299846,0.03369437121640202,-0.04239767542720585,0.0260035996895418,0.004751198100276799,-0.04245935580231208,-0.02363075403645931
0.3321399688720703,0.33858153600360674,0.32899385698881833,0.32959285564880186,338811200,-0.013790844797534452,-0.015786779949120477,0.028866381385376946,-0.4870973211258054,0.32443947792053224,0.32900130897760393,0.046754731585555806,0.03337369313576093,0.08181204985179025,-0.04239767542720585,0.0260035996895418,-0.019399613777398406,0.06392716959208378
0.3268965482711792,0.33513601399381626,0.3268965482711792,0.3336384543817007,327314400,-0.015786779949120477,0.05499411605323745,0.02520511692831323,-0.03393276255330402,0.3264469623565674,0.3298627570271492,0.048346316489034626,0.0319053026179067,-0.013790844797534452,0.08181204985179025,-0.04239767542720585,-0.008477704936588726,0.012017276136440103
0.34487393498420715,0.34517427206978757,0.32345096467889534,0.32659710316362583,443279200,0.05499411605323745,0.008253680916836759,0.06298912497370093,0.3542917757361119,0.33040202856063844,0.33137587904930116,0.05271130992054878,0.03386166235047546,-0.015786779949120477,-0.013790844797534452,0.08181204985179025,0.004751198100276799,0.004666277472759273
0.3477204144001007,0.35221474278139653,0.3430767426303315,0.3432260860188049,344002400,0.008253680916836759,0.0017250391919956254,0.026279734443634042,-0.22395997827103098,0.33768307566642763,0.3327616348862648,0.04346800158855866,0.03375392698511938,0.05499411605323745,-0.015786779949120477,-0.013790844797534452,0.0260035996895418,-0.03334707099043466
0.34832024574279785,0.3508664839472944,0.3394809084446089,0.3429265322796125,185914400,0.0017250391919956254,0.0008599647766094343,0.03268709080749998,-0.4595549333376744,0.33999022245407107,0.33408002406358717,0.028654395092773642,0.033758542310194144,0.008253680916836759,0.05499411605323745,-0.015786779949120477,-0.04239767542720585,-0.012664803410360137
