Date,sp500_return,eurusd,vix,petroleo_return,oro_return,tipos_fed,inflacion_usa,inflation_eu,desempleo,tipos_ecb,curva10Y2Y,precio,activo_return,media_movil_3m,media_movil_6m,media_movil_12m,volatilidad_3m,volatilidad_6m,momentum_3m,momentum_6m,momentum_12m,lag_1,lag_2,lag_3,lag_6,lag_12,target
2003-12-31,0.05076554077889206,1.2590018510818481,18.309999465942383,0.06938509111933211,0.04763111137978071,0.98,0.020352035203520247,0.020207059997505272,5.7,1.0,2.43,0.32015448808670044,0.02199778811049935,0.3254481852054596,0.32355060676733655,0.28005437428752583,0.09590392928985002,0.08874202986546527,0.9763445556163788,1.9413036406040192,3.3606524914503098,-0.0865003984631576,0.10472971026876321,-0.08359130403032566,0.06183700157368621,-0.07548447764404453,0.055686229462843295
2004-01-31,0.017276386950755285,1.2452058792114258,16.6299991607666,0.016297625210221822,-0.03247534184164658,1.0,0.020262869660460092,0.01834289992513094,5.7,1.0,2.32,0.3379826843738556,0.055686229462843295,0.3238001863161723,0.32724598546822864,0.2902916992704074,0.07430096985850787,0.08135039247603292,0.9714005589485168,1.963475912809372,3.4835003912448883,0.02199778811049935,-0.0865003984631576,0.10472971026876321,0.1059825411370805,0.0020949147267257384,0.06028392839775121
2004-02-29,0.01220897373761054,1.253007173538208,14.550000190734863,0.031216633834876717,0.022959945186728614,1.01,0.01688453159041381,0.016654238130748178,5.6,1.0,2.33,0.35835760831832886,0.06028392839775121,0.3388315935929616,0.3305169443289439,0.30141544714570045,0.020904060428305275,0.07972269943597297,1.0164947807788849,1.9831016659736633,3.6169853657484055,0.055686229462843295,0.02199778811049935,-0.0865003984631576,0.07257975703886799,0.045263945830881,0.13043434871145432
2004-03-31,-0.01635891961786684,1.231299638748169,16.739999771118164,0.04924311048905716,0.0385613876751183,1.0,0.017400761283306032,0.017175336710737454,5.8,1.0,2.26,0.4050997495651245,0.13043434871145432,0.36714668075243634,0.34629743297894794,0.3175205538670222,0.04189172877169937,0.07614435635202843,1.101440042257309,2.0777845978736877,3.8102466464042664,0.06028392839775121,0.055686229462843295,0.02199778811049935,-0.08359130403032566,-0.057962432708828726,-0.04659758938715908
2004-04-30,-0.016790751960348183,1.198293685913086,17.190000534057617,0.04530209235514793,-0.09431310307571206,1.0,0.022925764192139875,0.02085132634176423,5.6,1.0,2.22,0.38622307777404785,-0.04659758938715908,0.38322681188583374,0.353513499101003,0.3319527010122935,0.08914879642218633,0.0785297080220518,1.1496804356575012,2.121080994606018,3.983432412147522,0.13043434871145432,0.06028392839775121,0.055686229462843295,0.10472971026876321,0.00565923237503263,0.08843993624443414
2004-05-31,0.01208345009735412,1.2198989391326904,15.5,0.06688068294713001,0.01808785529715773,1.0,0.028977583378895444,0.024814814814814845,5.6,1.0,2.12,0.4203806221485138,0.08843993624443414,0.4039011498292287,0.37136637171109516,0.34457456320524216,0.09250132531852777,0.060304446888502235,1.2117034494876862,2.228198230266571,4.134894758462906,-0.04659758938715908,0.13043434871145432,0.06028392839775121,-0.0865003984631576,0.26230599358229156,0.15965813090415715
2004-06-30,0.017988998771432563,1.218397855758667,14.34000015258789,-0.07096293267949094,-0.00355328400122934,1.03,0.03167667941015839,0.02404438964241673,5.6,1.0,1.92,0.48749780654907227,0.15965813090415715,0.431367168823878,0.39925692478815716,0.36140376577774685,0.10476050999954054,0.0718267704368342,1.294101506471634,2.395541548728943,4.336845189332962,0.08843993624443414,-0.04659758938715908,0.13043434871145432,0.02199778811049935,0.06183700157368621,-0.006145419359382287
2004-07-31,-0.034290519520026264,1.2016053199768066,15.319999694824219,0.1821862385694215,-0.004075410286911052,1.26,0.02939575394665228,0.02346258335391438,5.5,1.0,1.82,0.4845019280910492,-0.006145419359382287,0.46412678559621173,0.42367679874102276,0.3754613921046257,0.08317575570770265,0.07915378771805455,1.3923803567886353,2.5420607924461365,4.505536705255508,0.15965813090415715,0.08843993624443414,-0.04659758938715908,0.055686229462843295,0.1059825411370805,0.06648118152297822
2004-08-31,0.0022873503233691306,1.2178043127059937,15.289999961853027,0.048619637225767454,0.028362927527074033,1.43,0.025474254742547275,0.02392108508014812,5.4,1.0,1.72,0.5167121887207031,0.06648118152297822,0.49623730778694153,0.45006922880808514,0.3902930865685145,0.08311376172823051,0.07913061814257387,1.4887119233608246,2.7004153728485107,4.683517038822174,-0.006145419359382287,0.15965813090415715,0.08843993624443414,0.06028392839775121,0.07257975703886799,0.12351320661041099
2004-09-30,0.009363875526838816,1.2433944940567017,13.34000015258789,0.08078591980016814,0.04130943689785771,1.61,0.025391680172879516,0.021501412949993748,5.4,1.0,1.51,0.580532968044281,0.12351320661041099,0.5272490282853445,0.4793080985546112,0.4128027657667796,0.0649854269941525,0.07803546584582492,1.5817470848560333,2.8758485913276672,4.953633189201355,0.06648118152297822,-0.006145419359382287,0.15965813090415715,0.13043434871145432,-0.08359130403032566,0.35225792262965894
