media_movil_12m,oro_return,volatilidad_3m,vix,curva10Y2Y,inflacion_usa,lag_3,lag_12,lag_2,sp500_return,tipos_fed,activo_return,target,tipos_fed_lag1,tipos_fed_lag3,tipos_fed_lag6,inflacion_usa_lag1,inflacion_usa_lag3,inflacion_usa_lag6,vix_lag1,vix_lag2,vix_lag3,curva10Y2Y_lag1,curva10Y2Y_lag3
0.27979658419887227,0.04763111137978071,0.09590387188963648,18.309999465942383,2.43,0.020352035203520247,-0.08359151966440215,-0.07548440216393304,0.1047295424076502,0.05076554077889206,0.98,0.021998825523151133,0.05568522132595999,0.9808999999999999,0.98,0.98,0.02034802275408254,0.020352035203520247,0.020352035203520247,18.23439945220947,18.309999465942383,18.309999465942383,2.42505,2.43
0.2900244841972987,-0.03247534184164658,0.07430072039053016,16.6299991607666,2.32,0.020262869660460092,0.1047295424076502,0.0020946910686725495,-0.08650035251039156,0.017276386950755285,1.0,0.05568522132595999,0.060284054121416686,0.98,0.98,0.98,0.020352035203520247,0.020352035203520247,0.020352035203520247,18.309999465942383,18.23439945220947,18.309999465942383,2.43,2.43
0.3011379924913247,0.022959945186728614,0.020903274281339725,14.550000190734863,2.33,0.01688453159041381,-0.08650035251039156,0.04526406010915429,0.021998825523151133,0.01220897373761054,1.01,0.060284054121416686,0.13043416373543004,1.0,0.9808999999999999,0.98,0.020262869660460092,0.02034802275408254,0.020352035203520247,16.6299991607666,18.309999465942383,18.23439945220947,2.32,2.42505
0.3172282713154952,0.0385613876751183,0.04189190759815257,16.739999771118164,2.26,0.017400761283306032,0.021998825523151133,-0.057962579562122696,0.05568522132595999,-0.01635891961786684,1.0,0.13043416373543004,-0.04659752818349594,1.01,0.98,0.98,0.01688453159041381,0.020352035203520247,0.020352035203520247,14.550000190734863,16.6299991607666,18.309999465942383,2.33,2.43
0.331647127866745,-0.09431310307571206,0.08914868708935784,17.190000534057617,2.22,0.022925764192139875,0.05568522132595999,0.005659519191165252,0.060284054121416686,-0.016790751960348183,1.0,-0.04659752818349594,0.08844010437483796,1.0,1.0,0.98,0.017400761283306032,0.020262869660460092,0.020352035203520247,16.739999771118164,14.550000190734863,16.6299991607666,2.26,2.32
0.3442573696374893,0.01808785529715773,0.09250124609270413,15.5,2.12,0.028977583378895444,0.060284054121416686,0.262306041509478,0.13043416373543004,0.01208345009735412,1.0,0.08844010437483796,0.15965827290525714,1.0,1.01,0.9808999999999999,0.022925764192139875,0.01688453159041381,0.02034802275408254,17.190000534057617,16.739999771118164,14.550000190734863,2.22,2.33
0.36107109238704044,-0.00355328400122934,0.10476055652339615,14.34000015258789,1.92,0.03167667941015839,0.13043416373543004,0.061836619580825314,-0.04659752818349594,0.017988998771432563,1.03,0.15965827290525714,-0.006145695892656899,1.0,1.0,0.98,0.028977583378895444,0.017400761283306032,0.020352035203520247,15.5,17.190000534057617,16.739999771118164,2.12,2.26
0.3751157720883687,-0.004075410286911052,0.08317597530758634,15.319999694824219,1.82,0.02939575394665228,-0.04659752818349594,0.10598285223239179,0.08844010437483796,-0.034290519520026264,1.26,-0.006145695892656899,0.06648167553450213,1.03,1.0,1.0,0.03167667941015839,0.022925764192139875,0.020262869660460092,14.34000015258789,15.5,17.190000534057617,1.92,2.22
0.38993382453918457,0.028362927527074033,0.0831139473325125,15.289999961853027,1.72,0.025474254742547275,0.08844010437483796,0.07257984610494761,0.15965827290525714,0.0022873503233691306,1.43,0.06648167553450213,0.12351312172995899,1.26,1.0,1.01,0.02939575394665228,0.028977583378895444,0.01688453159041381,15.319999694824219,14.34000015258789,15.5,1.82,2.12
0.4124227985739708,0.04130943689785771,0.06498554957688489,13.34000015258789,1.51,0.025391680172879516,0.15965827290525714,-0.08359151966440215,-0.006145695892656899,0.009363875526838816,1.61,0.12351312172995899,0.35225815773561053,1.43,1.03,1.0,0.025474254742547275,0.03167667941015839,0.017400761283306032,15.289999961853027,15.319999694824219,14.34000015258789,1.72,1.92
