oro_return,precio,inflacion_usa,volatilidad_6m,lag_3,tipos_ecb,eurusd,activo_return,desempleo,sp500_return,vix,tipos_fed,curva10Y2Y,target
0.04763111137978071,0.3201545774936676,0.020352035203520247,0.08874221812277426,-0.08359183927719571,1.0,1.2590018510818481,0.02199797628778577,5.7,0.05076554077889206,18.309999465942383,0.98,2.43,0.05568584156263778
-0.03247534184164658,0.3379826545715332,0.020262869660460092,0.08135035210628191,0.10472997266762496,1.0,1.2452058792114258,0.05568584156263778,5.7,0.017276386950755285,16.6299991607666,1.0,2.32,0.060284198244641374
0.022959945186728614,0.35835766792297363,0.01688453159041381,0.07972276409666179,-0.0864999146150005,1.0,1.253007173538208,0.060284198244641374,5.6,0.01220897373761054,14.550000190734863,1.01,2.33,0.1304341606894197
0.0385613876751183,0.4050997495651245,0.017400761283306032,0.07614417220789484,0.02199797628778577,1.0,1.231299638748169,0.1304341606894197,5.8,-0.01635891961786684,16.739999771118164,1.0,2.26,-0.04659773652288268
-0.09431310307571206,0.3862230181694031,0.022925764192139875,0.07852954082564456,0.05568584156263778,1.0,1.198293685913086,-0.04659773652288268,5.6,-0.016790751960348183,17.190000534057617,1.0,2.22,0.08844025854713156
0.01808785529715773,0.42038068175315857,0.028977583378895444,0.06030446904694377,0.060284198244641374,1.0,1.2198989391326904,0.08844025854713156,5.6,0.01208345009735412,15.5,1.0,2.12,0.1596571866491654
-0.00355328400122934,0.487497478723526,0.03167667941015839,0.0718265894656191,0.1304341606894197,1.0,1.218397855758667,0.1596571866491654,5.6,0.017988998771432563,14.34000015258789,1.03,1.92,-0.006144995558972521
-0.004075410286911052,0.48450180888175964,0.02939575394665228,0.07915351153214062,-0.04659773652288268,1.0,1.2016053199768066,-0.006144995558972521,5.5,-0.034290519520026264,15.319999694824219,1.26,1.82,0.0664816899705194
0.028362927527074033,0.5167123079299927,0.025474254742547275,0.07913034745557097,0.08844025854713156,1.0,1.2178043127059937,0.0664816899705194,5.4,0.0022873503233691306,15.289999961853027,1.43,1.72,0.12351317811501539
0.04130943689785771,0.5805330872535706,0.025391680172879516,0.0780352188621616,0.1596571866491654,1.0,1.2433944940567017,0.12351317811501539,5.4,0.009363875526838816,13.34000015258789,1.61,1.51,0.3522578502954241
0.023405749957616573,0.7850304245948792,0.03190914007571655,0.12215930581888576,-0.006144995558972521,1.0,1.283202886581421,0.3522578502954241,5.5,0.014014243690939843,16.270000457763672,1.76,1.49,0.27958012622787454
0.053208839656869955,1.0045093297958374,0.03621621621621607,0.1333450277446539,0.0664816899705194,1.0,1.3298048973083496,0.27958012622787454,5.4,0.03859493629597055,13.239999771118164,1.93,1.34,-0.039522170407770285
-0.030578303049499378,0.9648089408874512,0.033423180592991875,0.15692048718141297,0.12351317811501539,1.0,1.3565024137496948,-0.039522170407770285,5.4,0.03245821284320516,13.289999961853027,2.16,1.16,0.19409867590941965
-0.03588574218749996,1.152077078819275,0.028448738593666034,0.14301495618204205,0.3522578502954241,1.0,1.305193305015564,0.19409867590941965,5.3,-0.025290467442294018,12.819999694824219,2.28,0.85,0.16671110847598958
0.034850670062718025,1.3441411256790161,0.030530262453133394,0.13516153091475194,0.27958012622787454,1.0,1.3217023611068726,0.16671110847598958,5.4,0.018903346132113308,12.079999923706055,2.5,0.77,-0.07111071970107152
-0.01786938784185277,1.2485582828521729,0.032068412613575736,0.17010461140930813,-0.039522170407770285,1.0,1.2966973781585693,-0.07111071970107152,5.2,-0.01911765556028966,14.020000457763672,2.63,0.7,-0.13462965116512216
0.014695562429623443,1.080465316772461,0.03361792956243326,0.16873344444823607,0.19409867590941965,1.0,1.292306900024414,-0.13462965116512216,5.2,-0.020108582083263493,15.3100004196167,2.79,0.55,0.10260746281830624
