Date,sp500_return,eurusd,vix,petroleo_return,oro_return,tipos_fed,inflacion_usa,inflation_eu,desempleo,tipos_ecb,curva10Y2Y,precio,activo_return,media_movil_3m,media_movil_6m,media_movil_12m,volatilidad_3m,volatilidad_6m,momentum_3m,momentum_6m,momentum_12m,lag_1,lag_2,lag_3,lag_6,lag_12,target
2003-12-31,0.05076554077889206,1.2590018510818481,18.309999465942383,0.06938509111933211,0.04763111137978071,0.98,0.020352035203520247,0.020207059997505272,5.7,1.0,2.43,0.3201545774936676,0.02199797628778577,0.325448215007782,0.3235505868991216,0.28005436435341835,0.09590400737374571,0.08874204396391294,0.976344645023346,1.9413035213947296,3.36065237224102,-0.08650023216890246,0.10473003851051699,-0.08359133344847258,0.06183677307480839,-0.0754845272825756,0.055685655388055366
2004-01-31,0.017276386950755285,1.2452058792114258,16.6299991607666,0.016297625210221822,-0.03247534184164658,1.0,0.020262869660460092,0.01834289992513094,5.7,1.0,2.32,0.3379825949668884,0.055685655388055366,0.3238001962502797,0.3272459457317988,0.2902916856110096,0.07430068144801177,0.08135030773773867,0.9714005887508392,1.9634756743907928,3.483500227332115,0.02199797628778577,-0.08650023216890246,0.10473003851051699,0.10598276093660419,0.002094567388924551,0.06028438523019597
2004-02-29,0.01220897373761054,1.253007173538208,14.550000190734863,0.04099847423648062,0.03120335010459585,1.01,0.01688453159041381,0.016654238130748178,5.6,1.0,2.33,0.35835766792297363,0.06028438523019597,0.3388316134611766,0.3305169343948364,0.30141544093688327,0.020903975495222438,0.07972273876198728,1.0164948403835297,1.9831016063690186,3.6169852912425995,0.055685655388055366,0.02199797628778577,-0.08650023216890246,0.07257927835090472,0.04526402450072897,0.1304339943621715
2004-03-31,-0.01635891961786684,1.231299638748169,16.739999771118164,0.03938379858486418,0.03025916285224528,1.0,0.017400761283306032,0.017175336710737454,5.8,1.0,2.26,0.40509968996047974,0.1304339943621715,0.36714665095011395,0.34629743297894794,0.31752054393291473,0.041891586579565265,0.0761442602151716,1.1014399528503418,2.0777845978736877,3.810246527194977,0.06028438523019597,0.055685655388055366,0.02199797628778577,-0.08359133344847258,-0.057962374125676064,-0.046597669811202724
2004-04-30,-0.016790751960348183,1.198293685913086,17.190000534057617,0.04530209235514793,-0.09431310307571206,1.0,0.022925764192139875,0.02085132634176423,5.6,1.0,2.22,0.3862229883670807,-0.046597669811202724,0.38322678208351135,0.35351348916689557,0.33195267617702484,0.0891487067313522,0.07852957383051173,1.149680346250534,2.1210809350013733,3.983432114124298,0.1304339943621715,0.06028438523019597,0.055685655388055366,0.10473003851051699,0.005659725167797447,0.0884403425350051
2004-05-31,0.01208345009735412,1.2198989391326904,15.5,0.06688068294713001,0.01808785529715773,1.0,0.028977583378895444,0.024814814814814845,5.6,1.0,2.12,0.42038068175315857,0.0884403425350051,0.4039011200269063,0.37136636674404144,0.34457454085350037,0.09250129881267449,0.0603044169636045,1.211703360080719,2.2281982004642487,4.134894490242004,-0.046597669811202724,0.1304339943621715,0.06028438523019597,-0.08650023216890246,0.26230560371352873,0.15965810826666083
2004-06-30,0.017988998771432563,1.218397855758667,14.34000015258789,-0.07096293267949094,-0.00355328400122934,1.03,0.03167667941015839,0.02404438964241673,5.6,1.0,1.92,0.48749786615371704,0.15965810826666083,0.4313671787579854,0.3992569148540497,0.36140375087658566,0.10476058492639971,0.07182676483089535,1.2941015362739563,2.395541489124298,4.336845010519028,0.0884403425350051,-0.046597669811202724,0.1304339943621715,0.02199797628778577,0.06183677307480839,-0.0061457854074230545
2004-07-31,-0.034290519520026264,1.2016053199768066,15.319999694824219,0.1821862385694215,-0.004075410286911052,1.26,0.02939575394665228,0.02346258335391438,5.5,1.0,1.82,0.48450180888175964,-0.0061457854074230545,0.46412678559621173,0.42367678383986157,0.3754613647858302,0.08317595497141113,0.07915383088358718,1.3923803567886353,2.5420607030391693,4.505536377429962,0.15965810826666083,0.0884403425350051,-0.046597669811202724,0.055685655388055366,0.10598276093660419,0.0664809518352596
2004-08-31,0.0022873503233691306,1.2178043127059937,15.289999961853027,0.06666666956978484,0.03542201049492477,1.43,0.025474254742547275,0.02392108508014812,5.4,1.0,1.72,0.516711950302124,0.0664809518352596,0.4962372084458669,0.4500691642363866,0.39029304931561154,0.0831139344520985,0.07913066645899448,1.4887116253376007,2.7004149854183197,4.683516591787338,-0.0061457854074230545,0.15965810826666083,0.0884403425350051,0.06028438523019597,0.07257927835090472,0.1235134943086782
2004-09-30,0.009363875526838816,1.2433944940567017,13.34000015258789,0.06250000255156873,0.034210215869366456,1.61,0.025391680172879516,0.021501412949993748,5.4,1.0,1.51,0.5805328488349915,0.1235134943086782,0.527248869339625,0.47930802404880524,0.4128027285138766,0.06498574546262448,0.07803561677399047,1.5817466080188751,2.8758481442928314,4.953632742166519,0.0664809518352596,-0.0061457854074230545,0.15965810826666083,0.1304339943621715,-0.08359133344847258,0.35225881634235057
2004-10-31,0.014014243690939843,1.283202886581421,16.270000457763672,0.04270747296437016,0.023405749957616573,1.76,0.03190914007571655,0.023923444976076347,5.5,1.0,1.49,0.7850306630134583,0.35225881634235057,0.6274251540501913,0.5457759698232015,0.4496447294950485,0.1512426973969895,0.12215994496693282,1.8822754621505737,3.274655818939209,5.395736753940582,0.1235134943086782,0.0664809518352596,-0.0061457854074230545,-0.046597669811202724,0.10473003851051699,0.2795801931707287
2004-11-30,0.03859493629597055,1.3298048973083496,13.239999771118164,-0.0508113859873105,0.053208839656869955,1.93,0.03621621621621607,0.022810890360559277,5.4,1.0,1.34,1.004509687423706,0.2795801931707287,0.7900243997573853,0.643130804101626,0.5072485854228338,0.11687844049275371,0.13334559805723434,2.3700731992721558,3.8587848246097565,6.086983025074005,0.35225881634235057,0.1235134943086782,0.0664809518352596,0.0884403425350051,-0.08650023216890246,-0.03952239368520838
2004-12-31,0.03245821284320516,1.3565024137496948,13.289999961853027,-0.11561164627903975,-0.030578303049499378,2.16,0.033423180592991875,0.023597016750213973,5.4,1.0,1.16,0.9648090600967407,-0.03952239368520838,0.9181164701779684,0.7226826697587967,0.5609697923064232,0.20840711749479338,0.15692101571240374,2.754349410533905,4.33609601855278,6.731637507677078,0.2795801931707287,0.35225881634235057,0.1235134943086782,0.15965810826666083,0.02199797628778577,0.19409889904187416
